Q2
P: 1
T: 0.074175 s
T: 0.087600 s
T: 0.077718 s
T: 0.084953 s
T: 0.078401 s
T: 0.071897 s
T: 0.067269 s
T: 0.078525 s
T: 0.064668 s
T: 0.084758 s
T: 0.083995 s
T: 0.067355 s
T: 0.074425 s
T: 0.065048 s
T: 0.086018 s
T: 0.074042 s
T: 0.074104 s
T: 0.081815 s
T: 0.074902 s
T: 0.073949 s
P: 2
T: 0.037123 s
T: 0.040269 s
T: 0.043098 s
T: 0.047469 s
T: 0.037223 s
T: 0.050958 s
T: 0.035901 s
T: 0.044917 s
T: 0.038655 s
T: 0.047468 s
T: 0.037971 s
T: 0.033244 s
T: 0.033754 s
T: 0.037844 s
T: 0.047951 s
T: 0.048924 s
T: 0.040015 s
T: 0.036532 s
T: 0.046870 s
T: 0.040809 s
P: 3
T: 0.023755 s
T: 0.025665 s
T: 0.024811 s
T: 0.049606 s
T: 0.028230 s
T: 0.023099 s
T: 0.025163 s
T: 0.024492 s
T: 0.023694 s
T: 0.024245 s
T: 0.022401 s
T: 0.039164 s
T: 0.024718 s
T: 0.027678 s
T: 0.030665 s
T: 0.031721 s
T: 0.030375 s
T: 0.026262 s
T: 0.022446 s
T: 0.023630 s
P: 4
T: 0.017234 s
T: 0.025623 s
T: 0.029929 s
T: 0.051188 s
T: 0.038576 s
T: 0.053831 s
T: 0.031644 s
T: 0.055724 s
T: 0.040743 s
T: 0.054282 s
T: 0.038391 s
T: 0.053641 s
T: 0.039063 s
T: 0.056101 s
T: 0.056838 s
T: 0.051968 s
T: 0.054236 s
T: 0.055691 s
T: 0.052068 s
T: 0.052782 s
P: 5
T: 0.064282 s
T: 0.036446 s
T: 0.049550 s
T: 0.062017 s
T: 0.060065 s
T: 0.065039 s
T: 0.040929 s
T: 0.062525 s
T: 0.041806 s
T: 0.057787 s
T: 0.058465 s
T: 0.065598 s
T: 0.058708 s
T: 0.047446 s
T: 0.032910 s
T: 0.055848 s
T: 0.057768 s
T: 0.035391 s
T: 0.060092 s
T: 0.062865 s
P: 6
T: 0.040800 s
T: 0.060631 s
T: 0.047447 s
T: 0.069338 s
T: 0.028797 s
T: 0.059917 s
T: 0.032523 s
T: 0.058118 s
T: 0.039197 s
T: 0.035975 s
T: 0.041596 s
T: 0.051346 s
T: 0.047321 s
T: 0.035818 s
T: 0.041943 s
T: 0.045808 s
T: 0.061739 s
T: 0.035849 s
T: 0.044861 s
T: 0.028519 s
P: 7
T: 0.030987 s
T: 0.065158 s
T: 0.055820 s
T: 0.055798 s
T: 0.036191 s
T: 0.026746 s
T: 0.030692 s
T: 0.051569 s
T: 0.030791 s
T: 0.031569 s
T: 0.034373 s
T: 0.030876 s
T: 0.029947 s
T: 0.023782 s
T: 0.038511 s
T: 0.035716 s
